Event Name,Event Image Src,Event Time,Event Location,Event Address
Sad Girls Club at UCI,https://campusgroups.uci.edu/upload/uci/2022/r2_image_upload_2328161_SadGirlsClub_Final_Facebook_Banner_15141925.png,Mon Jun 28 2021 12:00 AM Mon Jul 1 2024 10:00 AM PDT (GMT-7),Private Location (register to display),Private Location (register to display)
Tai Chi - Beginners,https://campusgroups.uci.edu/upload/uci/2023/r2_image_upload_3422921_TaiChibeginners1200x740brand1710x380jpg_117183046.jpeg,UCI Susan Samueli Integrative Health Institute,Wed Jan 3,
